species,feature,statistic,pvalue,qvalue_bh,direction,rank_among_all_tested,fdr_significant
Faecalicoccus_pleomorphus,metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus,-4.188084720706731,2.813185064462376e-05,4.117005841339704e-05,depleted_PD,917,True
Faecalicoccus_pleomorphus,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Faecalicoccus|s__Faecalicoccus_pleomorphus,-4.064224100281221,4.8192506507518675e-05,6.836611388275905e-05,depleted_PD,946,True
Actinomyces_odontolyticus,metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,-3.4825351129454676,0.0004966900787648122,0.0006446403149926286,depleted_PD,1034,True
Actinomyces_odontolyticus,metaphlan_rel_ab::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,-3.1721236807747886,0.0015132854380476217,0.0018856351512162566,depleted_PD,1077,True
