rwbc_rank,feature,feature_raw,feature_clean,rwbc_score,degree,n_pd,n_healthy,pd_median,healthy_median,wilcoxon_rank_sum_z,p_value_raw,p_value_bonferroni,p_value_fdr_bh,pd_vs_healthy_direction
11,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_paucivorans,metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_paucivorans,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Brevibacteriaceae|g__Brevibacterium|s__Brevibacterium_paucivorans,1.2402103224021033,825.0,490,234,-4.377293953191378,-4.083034974471353,-4.851080986481315,1.2279039129618908e-06,2.4558078259237816e-05,1.4841361248453119e-06,higher_in_healthy
12,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides,metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_asteroides,1.2391033623910337,826.0,490,234,-4.380240106564418,-4.083034974471353,-4.80890758504809,1.5175734024304289e-06,3.0351468048608576e-05,1.5175734024304289e-06,higher_in_healthy
13,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Stomatobaculum,1.238411512384115,825.0,490,234,-4.380240106564418,-4.083034974471353,-4.880336409097156,1.0590503157467767e-06,2.1181006314935533e-05,1.4841361248453119e-06,higher_in_healthy
14,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter,metaphlan_counts::k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Cronobacter,1.2381347723813476,825.0,490,234,-4.380240106564418,-4.083034974471353,-4.909591831712997,9.126615405865064e-07,1.8253230811730127e-05,1.4841361248453119e-06,higher_in_healthy
15,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum,metaphlan_counts::k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum,k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum,1.237581292375813,824.0,490,234,-4.380240106564418,-4.068588940542539,-5.1892280790540255,2.1116762159540794e-07,4.223352431908159e-06,1.4841361248453119e-06,higher_in_healthy
16,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_neonatale,1.236612702366127,825.0,490,234,-4.380240106564418,-4.083034974471353,-4.920610107763119,8.627484688051e-07,1.7254969376102e-05,1.4841361248453119e-06,higher_in_healthy
17,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_saerimneri,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_saerimneri,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_saerimneri,1.2363359623633596,825.0,490,234,-4.380240106564418,-4.083034974471353,-4.898573555662876,9.653490080829084e-07,1.9306980161658168e-05,1.4841361248453119e-06,higher_in_healthy
18,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei,metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_casei,1.236197592361976,825.0,490,234,-4.380240106564418,-4.083034974471353,-4.870837895260844,1.1112598494013695e-06,2.222519698802739e-05,1.4841361248453119e-06,higher_in_healthy
19,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_sp_An194,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_sp_An194,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Gemmiger|s__Gemmiger_sp_An194,1.2359208523592085,824.0,490,234,-4.377293953191378,-4.083034974471353,-4.853740570355482,1.2115420967378781e-06,2.4230841934757562e-05,1.4841361248453119e-06,higher_in_healthy
20,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_angulatum,1.2357824823578247,825.0,490,234,-4.380240106564418,-4.083034974471353,-4.870837895260844,1.1112598494013695e-06,2.222519698802739e-05,1.4841361248453119e-06,higher_in_healthy
