xg_rank,feature,feature_clean,n_pd,n_healthy,pd_median,healthy_median,wilcoxon_rank_sum_z,p_value_raw,p_value_bonferroni,p_value_fdr_bh,pd_vs_healthy_direction
1,Sex=M,Sex=M,490,234,1.0,0.0,7.264463382011493,3.745220594166893e-13,7.490441188333786e-12,2.4968137294445956e-12,higher_in_PD
2,Constipation=Y,Constipation=Y,490,234,0.0,0.0,6.8260119833273265,8.730764015888324e-12,1.7461528031776648e-10,2.9102546719627747e-11,equal_median
3,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Blautia|s__Blautia_wexlerae,490,234,19.63366318202182,21.31325190370768,-6.568792228639995,5.072500348199573e-11,1.0145000696399147e-09,1.4492858137713068e-10,higher_in_healthy
4,humann_KO_group_counts::K15584: nickel transport system substrate-binding protein,K15584: nickel transport system substrate-binding protein,490,234,10.116634984855128,10.9513622474181,-2.511786998874371,0.012012156694571008,0.24024313389142016,0.01501519586821376,higher_in_healthy
5,humann_KO_group_counts::K17680: twinkle protein [EC:3.6.4.12],K17680: twinkle protein [EC:3.6.4.12],490,234,-5.198106703635277,-5.179242120724229,-0.18845051451243203,0.8505235041254744,1.0,0.8505235041254744,higher_in_healthy
6,humann_KO_group_counts::K01783: ribulose-phosphate 3-epimerase [EC:5.1.3.1],K01783: ribulose-phosphate 3-epimerase [EC:5.1.3.1],490,234,14.665465573941663,15.154615924859463,-6.103365050660702,1.0385826155823258e-09,2.0771652311646513e-08,2.596456538955814e-09,higher_in_healthy
7,metaphlan_rel_ab::k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia,490,234,11.612650415625794,12.646274935687234,-6.871984790295077,6.331470688680255e-12,1.266294137736051e-10,2.532588275472102e-11,higher_in_healthy
8,metaphlan_counts::k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_odontolyticus,490,234,-3.3618378930135515,13.21228913076553,-3.4825351129454676,0.0004966900787648122,0.009933801575296244,0.0007095572553783031,higher_in_healthy
9,humann_KO_group_counts::K03930: putative tributyrin esterase [EC:3.1.1.-],K03930: putative tributyrin esterase [EC:3.1.1.-],490,234,-4.4109742454839775,7.607241961953594,-3.165664691366096,0.0015472904297815211,0.03094580859563042,0.0020630539063753615,higher_in_healthy
10,metaphlan_counts::k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_australis,490,234,-4.31144434458403,-3.848635433989232,-7.150101275422295,8.671390097195624e-13,1.7342780194391248e-11,4.335695048597812e-12,higher_in_healthy
11,humann_KO_group_counts::K08717: urea transporter,K08717: urea transporter,490,234,11.252495487202356,10.968122366595786,0.24468171642339964,0.8067028859732861,1.0,0.8491609326034592,higher_in_PD
12,humann_KO_group_counts::K05593: aminoglycoside 6-adenylyltransferase [EC:2.7.7.-],K05593: aminoglycoside 6-adenylyltransferase [EC:2.7.7.-],490,234,-5.255649605836868,-4.845084358818417,-3.697201525646121,0.000217989288408336,0.00435978576816672,0.0003353681360128246,higher_in_healthy
