pd_rank,healthy_rank,feature_clean,rwbc_pd,rwbc_healthy,delta_rwbc,delta_direction
1,1,Klebsiella michiganensis,2.7132266874756144,1.3162397910995056,1.3969868963761087,higher_in_PD
2,4,Clostridiales,2.3695167493450757,1.0794210789488303,1.2900956703962454,higher_in_PD
3,5,Clostridia,2.361239618750348,1.060086671481749,1.3011529472685992,higher_in_PD
4,2,Lachnospiraceae (counts),2.346831280307675,1.2329851658425468,1.1138461144651284,higher_in_PD
5,6,Pseudoflavonifractor capillosus,1.870269215762778,0.8360464470248347,1.0342227687379433,higher_in_PD
6,7,Lachnospiraceae (rel_ab),1.4406666295078312,0.7796544252458469,0.6610122042619843,higher_in_PD
7,9,Catenibacterium,0.6324898277687977,0.3270737263181288,0.3054161014506689,higher_in_PD
8,3,Lactobacillus salivarius,0.2373613510952566,1.2264848047113728,-0.9891234536161162,higher_in_healthy
9,8,Eubacterium limosum,0.2307006298422607,0.3380743374631924,-0.1073737076209316,higher_in_healthy
10,10,Ruthenibacterium lactatiformans,0.0,0.0,0.0,equal
